country,gdp,continent
คลองเตย,0,บ้านเดี่ยว
คลองสาน,0,บ้านเดี่ยว
คลองสามวา,5.7,บ้านเดี่ยว
คันนายาว,11,บ้านเดี่ยว
จตุจักร,20.8,บ้านเดี่ยว
จอมทอง,24.5,บ้านเดี่ยว
ดอนเมือง,10.9,บ้านเดี่ยว
ดินแดง,0,บ้านเดี่ยว
ตลิ่งชัน,29.4,บ้านเดี่ยว
ทวีวัฒนา,17,บ้านเดี่ยว
ทุ่งครุ,5.6,บ้านเดี่ยว
ธนบุรี,0,บ้านเดี่ยว
บางกอกน้อย,12.5,บ้านเดี่ยว
บางกอกใหญ่,0,บ้านเดี่ยว
บางกะปิ,22.6,บ้านเดี่ยว
บางขุนเทียน,11,บ้านเดี่ยว
บางเขน,10.2,บ้านเดี่ยว
บางคอแหลม,0,บ้านเดี่ยว
บางแค,13.8,บ้านเดี่ยว
บางชัน,0,บ้านเดี่ยว
บางซื่อ,0,บ้านเดี่ยว
บางนา,25.3,บ้านเดี่ยว
บางบอน,10.6,บ้านเดี่ยว
บางพลัด,0,บ้านเดี่ยว
บางรัก,0,บ้านเดี่ยว
บึงกุ่ม,47.5,บ้านเดี่ยว
ปทุมวัน,65,บ้านเดี่ยว
ประเวศ,16.2,บ้านเดี่ยว
ป้อมปราบศัตรูพ่าย,0,บ้านเดี่ยว
พญาไท,29.3,บ้านเดี่ยว
พระโขนง,14.9,บ้านเดี่ยว
พระนคร,0,บ้านเดี่ยว
ภาษีเจริญ,21.9,บ้านเดี่ยว
มีนบุรี,8.1,บ้านเดี่ยว
ยานนาวา,54.7,บ้านเดี่ยว
ราชเทวี,0,บ้านเดี่ยว
ราษฎร์บูรณะ,0,บ้านเดี่ยว
ลาดกระบัง,6.7,บ้านเดี่ยว
ลาดพร้าว,26.9,บ้านเดี่ยว
ลุมพินี,0,บ้านเดี่ยว
วังทองหลาง,55.8,บ้านเดี่ยว
วัฒนา,54.3,บ้านเดี่ยว
สวนหลวง,57.7,บ้านเดี่ยว
สะพานสูง,17.8,บ้านเดี่ยว
สาทร,0,บ้านเดี่ยว
สายไหม,7.2,บ้านเดี่ยว
หนองแขม,10.2,บ้านเดี่ยว
หนองจอก,3.7,บ้านเดี่ยว
หลักสี่,24.8,บ้านเดี่ยว
ห้วยขวาง,40,บ้านเดี่ยว
คลองเตย,37.5,ทาวน์เฮ้าส์
คลองสาน,0,ทาวน์เฮ้าส์
คลองสามวา,2.9,ทาวน์เฮ้าส์
คันนายาว,4.8,ทาวน์เฮ้าส์
จตุจักร,15.1,ทาวน์เฮ้าส์
จอมทอง,4.4,ทาวน์เฮ้าส์
ดอนเมือง,4.2,ทาวน์เฮ้าส์
ดินแดง,0,ทาวน์เฮ้าส์
ตลิ่งชัน,3.3,ทาวน์เฮ้าส์
ทวีวัฒนา,3.4,ทาวน์เฮ้าส์
ทุ่งครุ,3,ทาวน์เฮ้าส์
ธนบุรี,0,ทาวน์เฮ้าส์
บางกอกน้อย,8.9,ทาวน์เฮ้าส์
บางกอกใหญ่,0,ทาวน์เฮ้าส์
บางกะปิ,5.2,ทาวน์เฮ้าส์
บางขุนเทียน,4.4,ทาวน์เฮ้าส์
บางเขน,3.7,ทาวน์เฮ้าส์
บางคอแหลม,19.5,ทาวน์เฮ้าส์
บางแค,3.3,ทาวน์เฮ้าส์
บางชัน,5,ทาวน์เฮ้าส์
บางซื่อ,0,ทาวน์เฮ้าส์
บางนา,9.2,ทาวน์เฮ้าส์
บางบอน,3.8,ทาวน์เฮ้าส์
บางพลัด,7.9,ทาวน์เฮ้าส์
บางรัก,48.5,ทาวน์เฮ้าส์
บึงกุ่ม,4.1,ทาวน์เฮ้าส์
ปทุมวัน,0,ทาวน์เฮ้าส์
ประเวศ,3.8,ทาวน์เฮ้าส์
ป้อมปราบศัตรูพ่าย,0,ทาวน์เฮ้าส์
พญาไท,81.2,ทาวน์เฮ้าส์
พระโขนง,20.6,ทาวน์เฮ้าส์
พระนคร,0,ทาวน์เฮ้าส์
ภาษีเจริญ,4.6,ทาวน์เฮ้าส์
มีนบุรี,2.9,ทาวน์เฮ้าส์
ยานนาวา,21.7,ทาวน์เฮ้าส์
ราชเทวี,0,ทาวน์เฮ้าส์
ราษฎร์บูรณะ,3.8,ทาวน์เฮ้าส์
ลาดกระบัง,3.1,ทาวน์เฮ้าส์
ลาดพร้าว,7.7,ทาวน์เฮ้าส์
ลุมพินี,0,ทาวน์เฮ้าส์
วังทองหลาง,8,ทาวน์เฮ้าส์
วัฒนา,41.4,ทาวน์เฮ้าส์
สวนหลวง,14,ทาวน์เฮ้าส์
สะพานสูง,5.9,ทาวน์เฮ้าส์
