"year","road","price"
"2013","ถนนสีลม","0.65"
"2014","ถนนสีลม","0.65"
"2015","ถนนสีลม","0.85"
"2016","ถนนสีลม","0.85"
"2017","ถนนสีลม","0.85"
"2018","ถนนสีลม","1.06"
"2019","ถนนสีลม","1.06"
"2020","ถนนสีลม","1.06"
"2013","ถนนเพลินจิต","0.4"
"2014","ถนนเพลินจิต","0.4"
"2015","ถนนเพลินจิต","0.8"
"2016","ถนนเพลินจิต","0.8"
"2017","ถนนเพลินจิต","0.8"
"2018","ถนนเพลินจิต","0.9"
"2019","ถนนเพลินจิต","0.9"
"2020","ถนนเพลินจิต","0.9"
"2013","ถนนพระราม 1 ","0.35"
"2014","ถนนพระราม 1 ","0.35"
"2015","ถนนพระราม 1 ","0.8"
"2016","ถนนพระราม 1 ","0.8"
"2017","ถนนพระราม 1 ","0.8"
"2018","ถนนพระราม 1 ","0.9"
"2019","ถนนพระราม 1 ","0.9"
"2020","ถนนพระราม 1 ","0.9"
"2013","ถนนราชดำริ ","0.35"
"2014","ถนนราชดำริ ","0.35"
"2015","ถนนราชดำริ ","0.8"
"2016","ถนนราชดำริ ","0.8"
"2017","ถนนราชดำริ ","0.8"
"2018","ถนนราชดำริ ","1"
"2019","ถนนราชดำริ ","1"
"2020","ถนนราชดำริ ","1"
"2013","ถนนวิทยุ","0.35"
"2014","ถนนวิทยุ","0.35"
"2015","ถนนวิทยุ","0.75"
"2016","ถนนวิทยุ","0.75"
"2017","ถนนวิทยุ","0.75"
"2018","ถนนวิทยุ","1"
"2019","ถนนวิทยุ","1"
"2020","ถนนวิทยุ","1"
